"Date","Region","Hospitalised","In ICU","Home Isolation","Healed","Dead","Tests","People Tested","ICU Entries","Swab Test Positive","Antigenic Test Positive","Swab Tests","Antigenic Tests"
2020-02-24,"Abruzzo",0,0,0,0,0,5,NA,NA,0,NA,5,NA
2020-02-24,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,"Calabria",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-24,"Campania",0,0,0,0,0,10,NA,NA,0,NA,10,NA
2020-02-24,"Emilia Romagna",10,2,6,0,0,148,NA,NA,18,NA,148,NA
2020-02-24,"Friuli V.G.",0,0,0,0,0,58,NA,NA,0,NA,58,NA
2020-02-24,"Lazio",1,1,0,1,0,124,NA,NA,3,NA,124,NA
2020-02-24,"Liguria",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-24,"Lombardia",76,19,71,0,6,1463,NA,NA,172,NA,1463,NA
2020-02-24,"Marche",0,0,0,0,0,16,NA,NA,0,NA,16,NA
2020-02-24,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,"Bolzano",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-24,"Trento",0,0,0,0,0,3,NA,NA,0,NA,3,NA
2020-02-24,"Piemonte",2,0,1,0,0,141,NA,NA,3,NA,141,NA
2020-02-24,"Puglia",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,"Sardegna",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-24,"Sicilia",0,0,0,0,0,5,NA,NA,0,NA,5,NA
2020-02-24,"Toscana",0,0,0,0,0,140,NA,NA,0,NA,140,NA
2020-02-24,"Umbria",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,"Valle d'Aosta",0,0,0,0,0,7,NA,NA,0,NA,7,NA
2020-02-24,"Veneto",12,4,16,0,1,2200,NA,NA,33,NA,2200,NA
2020-02-25,"Abruzzo",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Calabria",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-25,"Campania",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Emilia Romagna",5,0,3,0,0,243,NA,NA,8,NA,243,NA
2020-02-25,"Friuli V.G.",0,0,0,0,0,31,NA,NA,0,NA,31,NA
2020-02-25,"Lazio",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Liguria",1,0,0,0,0,38,NA,NA,1,NA,38,NA
2020-02-25,"Lombardia",3,6,56,0,3,2237,NA,NA,68,NA,2237,NA
2020-02-25,"Marche",0,0,0,0,0,5,NA,NA,0,NA,5,NA
2020-02-25,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Bolzano",1,0,0,0,0,0,NA,NA,1,NA,0,NA
2020-02-25,"Trento",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Piemonte",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Puglia",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Sardegna",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Sicilia",1,0,2,0,0,0,NA,NA,3,NA,0,NA
2020-02-25,"Toscana",2,0,0,0,0,156,NA,NA,2,NA,156,NA
2020-02-25,"Umbria",0,0,0,0,0,8,NA,NA,0,NA,8,NA
2020-02-25,"Valle d'Aosta",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Veneto",0,3,7,0,0,1580,NA,NA,10,NA,1580,NA
2020-02-26,"Abruzzo",0,0,0,0,0,8,NA,NA,0,NA,8,NA
2020-02-26,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Calabria",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-26,"Campania",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Emilia Romagna",5,1,14,0,1,186,NA,NA,21,NA,186,NA
2020-02-26,"Friuli V.G.",0,0,0,0,0,25,NA,NA,0,NA,25,NA
2020-02-26,"Lazio",-1,-1,0,2,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Liguria",5,0,5,0,0,27,NA,NA,10,NA,27,NA
2020-02-26,"Lombardia",0,0,18,0,0,-492,NA,NA,18,NA,-492,NA
2020-02-26,"Marche",1,0,0,0,0,7,NA,NA,1,NA,7,NA
2020-02-26,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Bolzano",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Trento",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Piemonte",0,0,0,0,0,15,NA,NA,0,NA,15,NA
2020-02-26,"Puglia",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Sardegna",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Sicilia",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Toscana",0,0,0,0,0,67,NA,NA,0,NA,67,NA
2020-02-26,"Umbria",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Valle d'Aosta",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Veneto",4,1,22,0,1,1120,NA,NA,28,NA,1120,NA
2020-02-27,"Abruzzo",1,0,0,0,0,20,NA,NA,1,NA,20,NA
2020-02-27,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-27,"Calabria",0,0,0,0,0,11,NA,NA,0,NA,11,NA
2020-02-27,"Campania",2,0,1,0,0,0,NA,NA,3,NA,0,NA
2020-02-27,"Emilia Romagna",16,3,31,0,0,456,NA,NA,50,NA,456,NA
2020-02-27,"Friuli V.G.",0,0,0,0,0,27,NA,NA,0,NA,27,NA
2020-02-27,"Lazio",0,0,0,0,0,428,NA,NA,0,NA,428,NA
2020-02-27,"Liguria",3,0,5,0,0,12,NA,NA,8,NA,12,NA
2020-02-27,"Lombardia",93,16,-9,40,5,112,NA,NA,145,NA,112,NA
2020-02-27,"Marche",1,1,0,0,0,18,NA,NA,2,NA,18,NA
2020-02-27,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-27,"Bolzano",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-27,"Trento",0,0,0,0,0,29,NA,NA,0,NA,29,NA
2020-02-27,"Piemonte",0,0,-1,0,0,0,NA,NA,-1,NA,0,NA
2020-02-27,"Puglia",1,0,0,0,0,0,NA,NA,1,NA,0,NA
2020-02-27,"Sardegna",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-27,"Sicilia",0,0,-1,2,0,0,NA,NA,1,NA,0,NA
2020-02-27,"Toscana",0,0,0,0,0,47,NA,NA,0,NA,47,NA
2020-02-27,"Umbria",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-27,"Valle d'Aosta",0,0,0,0,0,2,NA,NA,0,NA,2,NA
2020-02-27,"Veneto",3,0,37,0,0,1264,NA,NA,40,NA,1264,NA
2020-02-28,"Abruzzo",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Calabria",0,0,1,0,0,7,NA,NA,1,NA,7,NA
2020-02-28,"Campania",0,0,1,0,0,203,NA,NA,1,NA,203,NA
2020-02-28,"Emilia Romagna",20,0,27,0,1,244,NA,NA,48,NA,244,NA
2020-02-28,"Friuli V.G.",0,0,0,0,0,28,NA,NA,0,NA,28,NA
2020-02-28,"Lazio",0,0,0,0,0,59,NA,NA,0,NA,59,NA
2020-02-28,"Liguria",0,0,0,0,0,34,NA,NA,0,NA,34,NA
2020-02-28,"Lombardia",63,6,56,0,3,1515,NA,NA,128,NA,1515,NA
2020-02-28,"Marche",1,1,1,0,0,1,NA,NA,3,NA,1,NA
2020-02-28,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Bolzano",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Trento",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Piemonte",5,0,4,0,0,71,NA,NA,9,NA,71,NA
2020-02-28,"Puglia",0,0,2,0,0,242,NA,NA,2,NA,242,NA
2020-02-28,"Sardegna",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Sicilia",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Toscana",3,0,2,1,0,27,NA,NA,6,NA,27,NA
2020-02-28,"Umbria",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Valle d'Aosta",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Veneto",5,1,34,0,0,1250,NA,NA,40,NA,1250,NA
2020-02-29,"Abruzzo",1,0,0,0,0,10,NA,NA,1,NA,10,NA
2020-02-29,"Basilicata",0,0,0,0,0,32,NA,NA,0,NA,32,NA
2020-02-29,"Calabria",0,0,0,0,0,6,NA,NA,0,NA,6,NA
2020-02-29,"Campania",1,0,8,0,0,160,NA,NA,9,NA,160,NA
2020-02-29,"Emilia Romagna",30,5,35,0,2,273,NA,NA,72,NA,273,NA
2020-02-29,"Friuli V.G.",0,0,0,0,0,20,NA,NA,0,NA,20,NA
2020-02-29,"Lazio",3,0,0,0,0,68,NA,NA,3,NA,68,NA
2020-02-29,"Liguria",-5,1,23,4,0,9,NA,NA,23,NA,9,NA
2020-02-29,"Lombardia",21,33,24,0,6,888,NA,NA,84,NA,888,NA
