"Date","Region","Hospitalised","In ICU","Home Isolation","Healed","Dead","Tests","People Tested","ICU Entries","Swab Test Positive","Antigenic Test Positive","Swab Tests","Antigenic Tests"
2020-02-24,"Abruzzo",0,0,0,0,0,5,NA,NA,0,NA,5,NA
2020-02-24,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,"Calabria",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-24,"Campania",0,0,0,0,0,10,NA,NA,0,NA,10,NA
2020-02-24,"Emilia Romagna",10,2,6,0,0,148,NA,NA,18,NA,148,NA
2020-02-24,"Friuli V.G.",0,0,0,0,0,58,NA,NA,0,NA,58,NA
2020-02-24,"Lazio",1,1,0,1,0,124,NA,NA,3,NA,124,NA
2020-02-24,"Liguria",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-24,"Lombardia",76,19,71,0,6,1463,NA,NA,172,NA,1463,NA
2020-02-24,"Marche",0,0,0,0,0,16,NA,NA,0,NA,16,NA
2020-02-24,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,"Bolzano",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-24,"Trento",0,0,0,0,0,3,NA,NA,0,NA,3,NA
2020-02-24,"Piemonte",2,0,1,0,0,141,NA,NA,3,NA,141,NA
2020-02-24,"Puglia",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,"Sardegna",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-24,"Sicilia",0,0,0,0,0,5,NA,NA,0,NA,5,NA
2020-02-24,"Toscana",0,0,0,0,0,140,NA,NA,0,NA,140,NA
2020-02-24,"Umbria",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-24,"Valle d'Aosta",0,0,0,0,0,7,NA,NA,0,NA,7,NA
2020-02-24,"Veneto",12,4,16,0,1,2200,NA,NA,33,NA,2200,NA
2020-02-25,"Abruzzo",0,0,0,0,0,5,NA,NA,0,NA,5,NA
2020-02-25,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Calabria",0,0,0,0,0,2,NA,NA,0,NA,2,NA
2020-02-25,"Campania",0,0,0,0,0,10,NA,NA,0,NA,10,NA
2020-02-25,"Emilia Romagna",15,2,9,0,0,391,NA,NA,26,NA,391,NA
2020-02-25,"Friuli V.G.",0,0,0,0,0,89,NA,NA,0,NA,89,NA
2020-02-25,"Lazio",1,1,0,1,0,124,NA,NA,3,NA,124,NA
2020-02-25,"Liguria",1,0,0,0,0,39,NA,NA,1,NA,39,NA
2020-02-25,"Lombardia",79,25,127,0,9,3700,NA,NA,240,NA,3700,NA
2020-02-25,"Marche",0,0,0,0,0,21,NA,NA,0,NA,21,NA
2020-02-25,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Bolzano",1,0,0,0,0,1,NA,NA,1,NA,1,NA
2020-02-25,"Trento",0,0,0,0,0,3,NA,NA,0,NA,3,NA
2020-02-25,"Piemonte",2,0,1,0,0,141,NA,NA,3,NA,141,NA
2020-02-25,"Puglia",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-25,"Sardegna",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-25,"Sicilia",1,0,2,0,0,5,NA,NA,3,NA,5,NA
2020-02-25,"Toscana",2,0,0,0,0,296,NA,NA,2,NA,296,NA
2020-02-25,"Umbria",0,0,0,0,0,8,NA,NA,0,NA,8,NA
2020-02-25,"Valle d'Aosta",0,0,0,0,0,7,NA,NA,0,NA,7,NA
2020-02-25,"Veneto",12,7,23,0,1,3780,NA,NA,43,NA,3780,NA
2020-02-26,"Abruzzo",0,0,0,0,0,13,NA,NA,0,NA,13,NA
2020-02-26,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Calabria",0,0,0,0,0,3,NA,NA,0,NA,3,NA
2020-02-26,"Campania",0,0,0,0,0,10,NA,NA,0,NA,10,NA
2020-02-26,"Emilia Romagna",20,3,23,0,1,577,NA,NA,47,NA,577,NA
2020-02-26,"Friuli V.G.",0,0,0,0,0,114,NA,NA,0,NA,114,NA
2020-02-26,"Lazio",0,0,0,3,0,124,NA,NA,3,NA,124,NA
2020-02-26,"Liguria",6,0,5,0,0,66,NA,NA,11,NA,66,NA
2020-02-26,"Lombardia",79,25,145,0,9,3208,NA,NA,258,NA,3208,NA
2020-02-26,"Marche",1,0,0,0,0,28,NA,NA,1,NA,28,NA
2020-02-26,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Bolzano",1,0,0,0,0,1,NA,NA,1,NA,1,NA
2020-02-26,"Trento",0,0,0,0,0,3,NA,NA,0,NA,3,NA
2020-02-26,"Piemonte",2,0,1,0,0,156,NA,NA,3,NA,156,NA
2020-02-26,"Puglia",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-26,"Sardegna",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-26,"Sicilia",1,0,2,0,0,5,NA,NA,3,NA,5,NA
2020-02-26,"Toscana",2,0,0,0,0,363,NA,NA,2,NA,363,NA
2020-02-26,"Umbria",0,0,0,0,0,8,NA,NA,0,NA,8,NA
2020-02-26,"Valle d'Aosta",0,0,0,0,0,7,NA,NA,0,NA,7,NA
2020-02-26,"Veneto",16,8,45,0,2,4900,NA,NA,71,NA,4900,NA
2020-02-27,"Abruzzo",1,0,0,0,0,33,NA,NA,1,NA,33,NA
2020-02-27,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-27,"Calabria",0,0,0,0,0,14,NA,NA,0,NA,14,NA
2020-02-27,"Campania",2,0,1,0,0,10,NA,NA,3,NA,10,NA
2020-02-27,"Emilia Romagna",36,6,54,0,1,1033,NA,NA,97,NA,1033,NA
2020-02-27,"Friuli V.G.",0,0,0,0,0,141,NA,NA,0,NA,141,NA
2020-02-27,"Lazio",0,0,0,3,0,552,NA,NA,3,NA,552,NA
2020-02-27,"Liguria",9,0,10,0,0,78,NA,NA,19,NA,78,NA
2020-02-27,"Lombardia",172,41,136,40,14,3320,NA,NA,403,NA,3320,NA
2020-02-27,"Marche",2,1,0,0,0,46,NA,NA,3,NA,46,NA
2020-02-27,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-27,"Bolzano",1,0,0,0,0,2,NA,NA,1,NA,2,NA
2020-02-27,"Trento",0,0,0,0,0,32,NA,NA,0,NA,32,NA
2020-02-27,"Piemonte",2,0,0,0,0,156,NA,NA,2,NA,156,NA
2020-02-27,"Puglia",1,0,0,0,0,0,NA,NA,1,NA,0,NA
2020-02-27,"Sardegna",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-27,"Sicilia",1,0,1,2,0,5,NA,NA,4,NA,5,NA
2020-02-27,"Toscana",2,0,0,0,0,410,NA,NA,2,NA,410,NA
2020-02-27,"Umbria",0,0,0,0,0,8,NA,NA,0,NA,8,NA
2020-02-27,"Valle d'Aosta",0,0,0,0,0,9,NA,NA,0,NA,9,NA
2020-02-27,"Veneto",19,8,82,0,2,6164,NA,NA,111,NA,6164,NA
2020-02-28,"Abruzzo",1,0,0,0,0,33,NA,NA,1,NA,33,NA
2020-02-28,"Basilicata",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Calabria",0,0,1,0,0,21,NA,NA,1,NA,21,NA
2020-02-28,"Campania",2,0,2,0,0,213,NA,NA,4,NA,213,NA
2020-02-28,"Emilia Romagna",56,6,81,0,2,1277,NA,NA,145,NA,1277,NA
2020-02-28,"Friuli V.G.",0,0,0,0,0,169,NA,NA,0,NA,169,NA
2020-02-28,"Lazio",0,0,0,3,0,611,NA,NA,3,NA,611,NA
2020-02-28,"Liguria",9,0,10,0,0,112,NA,NA,19,NA,112,NA
2020-02-28,"Lombardia",235,47,192,40,17,4835,NA,NA,531,NA,4835,NA
2020-02-28,"Marche",3,2,1,0,0,47,NA,NA,6,NA,47,NA
2020-02-28,"Molise",0,0,0,0,0,0,NA,NA,0,NA,0,NA
2020-02-28,"Bolzano",1,0,0,0,0,2,NA,NA,1,NA,2,NA
2020-02-28,"Trento",0,0,0,0,0,32,NA,NA,0,NA,32,NA
2020-02-28,"Piemonte",7,0,4,0,0,227,NA,NA,11,NA,227,NA
2020-02-28,"Puglia",1,0,2,0,0,242,NA,NA,3,NA,242,NA
2020-02-28,"Sardegna",0,0,0,0,0,1,NA,NA,0,NA,1,NA
2020-02-28,"Sicilia",1,0,1,2,0,5,NA,NA,4,NA,5,NA
2020-02-28,"Toscana",5,0,2,1,0,437,NA,NA,8,NA,437,NA
2020-02-28,"Umbria",0,0,0,0,0,8,NA,NA,0,NA,8,NA
2020-02-28,"Valle d'Aosta",0,0,0,0,0,9,NA,NA,0,NA,9,NA
2020-02-28,"Veneto",24,9,116,0,2,7414,NA,NA,151,NA,7414,NA
2020-02-29,"Abruzzo",2,0,0,0,0,43,NA,NA,2,NA,43,NA
2020-02-29,"Basilicata",0,0,0,0,0,32,NA,NA,0,NA,32,NA
2020-02-29,"Calabria",0,0,1,0,0,27,NA,NA,1,NA,27,NA
2020-02-29,"Campania",3,0,10,0,0,373,NA,NA,13,NA,373,NA
2020-02-29,"Emilia Romagna",86,11,116,0,4,1550,NA,NA,217,NA,1550,NA
2020-02-29,"Friuli V.G.",0,0,0,0,0,189,NA,NA,0,NA,189,NA
2020-02-29,"Lazio",3,0,0,3,0,679,NA,NA,6,NA,679,NA
2020-02-29,"Liguria",4,1,33,4,0,121,NA,NA,42,NA,121,NA
2020-02-29,"Lombardia",256,80,216,40,23,5723,NA,NA,615,NA,5723,NA
